county,precinct,hd,sd,pres_harris,pres_trump,pres_dem2p,house_dem,house_rep,house_dem2p,delta,has_metric,dem_name,undervote,sen_dem,sen_rep,sen_dem2p,sen_delta,sen_dem_name,sen_undervote
Multnomah,4404,44,22,5681,460,92.51,,,,,False,Nelson (unopp.),,5416,555,90.71,-1.8,Frederick,2.8
Multnomah,4405,44,22,6556,423,93.94,,,,,False,Nelson (unopp.),,6441,518,92.56,-1.38,Frederick,0.3
Multnomah,4406,44,22,4404,939,82.43,,,,,False,Nelson (unopp.),,4166,991,80.78,-1.65,Frederick,3.5
Multnomah,4407,44,22,18,10,64.29,,,,,False,Nelson (unopp.),,18,10,,,Frederick,0.0
Multnomah,4501,45,,7514,578,92.86,,,,,False,Tran (unopp.),,,,,,,
Multnomah,4502,45,,6705,624,91.49,,,,,False,Tran (unopp.),,,,,,,
Multnomah,4503,45,,5763,970,85.59,,,,,False,Tran (unopp.),,,,,,,
Multnomah,4504,45,,418,84,83.27,,,,,False,Tran (unopp.),,,,,,,
Multnomah,4505,45,,1902,211,90.01,,,,,False,Tran (unopp.),,,,,,,
Multnomah,4506,45,,6085,767,88.81,,,,,False,Tran (unopp.),,,,,,,
Multnomah,4507,45,,214,67,76.16,,,,,False,Tran (unopp.),,,,,,,
Multnomah,4508,45,,3840,1367,73.75,,,,,False,Tran (unopp.),,,,,,,
Multnomah,4509,45,,570,224,71.79,,,,,False,Tran (unopp.),,,,,,,
Multnomah,4601,46,,5512,568,90.66,5073,507,90.91,0.25,True,Chotzen,8.2,,,,,,
Multnomah,4602,46,,4877,583,89.32,4559,482,90.44,1.12,True,Chotzen,7.7,,,,,,
Multnomah,4603,46,,3305,490,87.09,3122,397,88.72,1.63,True,Chotzen,7.3,,,,,,
Multnomah,4604,46,,4747,973,82.99,4468,787,85.02,2.03,True,Chotzen,8.1,,,,,,
Multnomah,4605,46,,3353,986,77.28,3087,804,79.34,2.06,True,Chotzen,10.3,,,,,,
Multnomah,4606,46,,3282,1041,75.92,3035,835,78.42,2.5,True,Chotzen,10.5,,,,,,
Multnomah,4607,46,,2386,731,76.55,2179,585,78.84,2.29,True,Chotzen,11.3,,,,,,
Multnomah,4608,46,,24,14,63.16,19,17,52.78,,False,Chotzen,5.3,,,,,,
Multnomah,4701,47,,28,32,46.67,,,,,False,Valderrama (unopp.),,,,,,,
Multnomah,4702,47,,1355,425,76.12,,,,,False,Valderrama (unopp.),,,,,,,
Multnomah,4703,47,,2822,1312,68.26,,,,,False,Valderrama (unopp.),,,,,,,
Multnomah,4704,47,,1814,1164,60.91,,,,,False,Valderrama (unopp.),,,,,,,
Multnomah,4705,47,,2072,812,71.84,,,,,False,Valderrama (unopp.),,,,,,,
Multnomah,4706,47,,1846,716,72.05,,,,,False,Valderrama (unopp.),,,,,,,
Multnomah,4707,47,,3405,1090,75.75,,,,,False,Valderrama (unopp.),,,,,,,
Multnomah,4708,47,,3081,1432,68.27,,,,,False,Valderrama (unopp.),,,,,,,
Multnomah,4709,47,,596,269,68.9,,,,,False,Valderrama (unopp.),,,,,,,
Multnomah,4710,47,,765,307,71.36,,,,,False,Valderrama (unopp.),,,,,,,
Multnomah,4801,48,,381,166,69.65,368,162,69.43,-0.22,True,H. Nguyen,3.1,,,,,,
Multnomah,4802,48,,2807,1297,68.4,2717,1319,67.32,-1.08,True,H. Nguyen,1.7,,,,,,
Multnomah,4803,48,,1495,970,60.65,1434,937,60.48,-0.17,True,H. Nguyen,3.8,,,,,,
Multnomah,4804,48,,2685,1643,62.04,2573,1666,60.7,-1.34,True,H. Nguyen,2.1,,,,,,
Multnomah,4805,48,,117,93,55.71,100,98,50.51,-5.2,True,H. Nguyen,5.7,,,,,,
Multnomah,4806,48,,2935,1807,61.89,2760,1864,59.69,-2.2,True,H. Nguyen,2.5,,,,,,
Multnomah,4807,48,,128,155,45.23,106,164,39.26,-5.97,True,H. Nguyen,4.6,,,,,,
Multnomah,4808,48,,912,760,54.55,832,769,51.97,-2.58,True,H. Nguyen,4.2,,,,,,
Multnomah,4809,48,,1,7,12.5,8,3,72.73,,False,H. Nguyen,-37.5,,,,,,
Multnomah,4901,49,25,41,28,59.42,44,33,57.14,-2.28,True,Hudson,-11.6,45,32,58.44,-0.98,Gorsek,-11.6
Multnomah,4902,49,25,150,101,59.76,136,113,54.62,-5.14,True,Hudson,0.8,141,112,55.73,-4.03,Gorsek,-0.8
Multnomah,4903,49,25,2433,1625,59.96,2218,1679,56.92,-3.04,True,Hudson,4.0,2283,1665,57.83,-2.13,Gorsek,2.7
Multnomah,4904,49,25,723,536,57.43,673,529,55.99,-1.44,True,Hudson,4.5,686,519,56.93,-0.5,Gorsek,4.3
Multnomah,4905,49,25,2983,2720,52.31,2759,2817,49.48,-2.83,True,Hudson,2.2,2864,2750,51.02,-1.29,Gorsek,1.6
Multnomah,4906,49,25,1115,943,54.18,1031,954,51.94,-2.24,True,Hudson,3.5,1063,927,53.42,-0.76,Gorsek,3.3
Multnomah,4907,49,25,1976,1387,58.76,1862,1386,57.33,-1.43,True,Hudson,3.4,1898,1385,57.81,-0.95,Gorsek,2.4
Multnomah,4908,49,25,2943,2071,58.7,2745,2086,56.82,-1.88,True,Hudson,3.6,2792,2061,57.53,-1.17,Gorsek,3.2
Multnomah,4909,49,25,2264,1221,64.96,2177,1166,65.12,0.16,True,Hudson,4.1,2178,1170,65.05,0.09,Gorsek,3.9
Multnomah,4910,49,25,144,86,62.61,139,75,64.95,2.34,True,Hudson,7.0,139,75,64.95,2.34,Gorsek,7.0
Multnomah,5001,50,25,45,45,50.0,44,46,48.89,-1.11,True,Ruiz,0.0,48,43,52.75,2.75,Gorsek,-1.1
Multnomah,5002,50,25,2549,1745,59.36,2507,1668,60.05,0.69,True,Ruiz,2.8,2484,1676,59.71,0.35,Gorsek,3.1
Multnomah,5003,50,25,196,130,60.12,199,130,60.49,0.37,True,Ruiz,-0.9,211,119,63.94,3.82,Gorsek,-1.2
Multnomah,5004,50,25,1690,1433,54.11,1544,1472,51.19,-2.92,True,Ruiz,3.4,1578,1425,52.55,-1.56,Gorsek,3.8
Multnomah,5005,50,25,3012,1986,60.26,2875,2003,58.94,-1.32,True,Ruiz,2.4,2873,1978,59.22,-1.04,Gorsek,2.9
Multnomah,5006,50,25,2753,2115,56.55,2580,2238,53.55,-3.0,True,Ruiz,1.0,2639,2183,54.73,-1.82,Gorsek,0.9
